match_id,home_team_name,home_score,away_team_name,away_score,match_date,stage,world_cup,match,final_score
68,Senegal,0,Netherlands,2,2022-11-21,Group Stage,Qatar,Senegal X Netherlands,0 - 2
69,Mexico,0,Poland,0,2022-11-22,Group Stage,Qatar,Mexico X Poland,0 - 0
70,France,4,Australia,1,2022-11-22,Group Stage,Qatar,France X Australia,4 - 1
71,Argentina,1,Saudi Arabia,2,2022-11-22,Group Stage,Qatar,Argentina X Saudi Arabia,1 - 2
72,Denmark,0,Tunisia,0,2022-11-22,Group Stage,Qatar,Denmark X Tunisia,0 - 0
73,Belgium,1,Canada,0,2022-11-23,Group Stage,Qatar,Belgium X Canada,1 - 0
74,Morocco,0,Croatia,0,2022-11-23,Group Stage,Qatar,Morocco X Croatia,0 - 0
75,Spain,7,Costa Rica,0,2022-11-23,Group Stage,Qatar,Spain X Costa Rica,7 - 0
76,Germany,1,Japan,2,2022-11-23,Group Stage,Qatar,Germany X Japan,1 - 2
77,Brazil,2,Serbia,0,2022-11-24,Group Stage,Qatar,Brazil X Serbia,2 - 0
78,Switzerland,1,Cameroon,0,2022-11-24,Group Stage,Qatar,Switzerland X Cameroon,1 - 0
79,Portugal,3,Ghana,2,2022-11-24,Group Stage,Qatar,Portugal X Ghana,3 - 2
80,Uruguay,0,South Korea,0,2022-11-24,Group Stage,Qatar,Uruguay X South Korea,0 - 0
81,Qatar,1,Senegal,3,2022-11-25,Group Stage,Qatar,Qatar X Senegal,1 - 3
82,England,0,United States,0,2022-11-25,Group Stage,Qatar,England X United States,0 - 0
83,Wales,0,Iran,2,2022-11-25,Group Stage,Qatar,Wales X Iran,0 - 2
84,Netherlands,1,Ecuador,1,2022-11-25,Group Stage,Qatar,Netherlands X Ecuador,1 - 1
85,Tunisia,0,Australia,1,2022-11-26,Group Stage,Qatar,Tunisia X Australia,0 - 1
86,Poland,2,Saudi Arabia,0,2022-11-26,Group Stage,Qatar,Poland X Saudi Arabia,2 - 0
87,France,2,Denmark,1,2022-11-26,Group Stage,Qatar,France X Denmark,2 - 1
88,Argentina,2,Mexico,0,2022-11-26,Group Stage,Qatar,Argentina X Mexico,2 - 0
89,Spain,1,Germany,1,2022-11-27,Group Stage,Qatar,Spain X Germany,1 - 1
90,Japan,0,Costa Rica,1,2022-11-27,Group Stage,Qatar,Japan X Costa Rica,0 - 1
91,Belgium,0,Morocco,2,2022-11-27,Group Stage,Qatar,Belgium X Morocco,0 - 2
